,Unnamed: 0,turn_id,sentence_id_in_turn,word_id_in_sentence,position_in_turn,word,word_start,word_stop,text,lemma,n_chars,n_syllables,pos,stopword,mtw,duration,left_sentence,right_sentence,bidi_sentence,left_bigram,right_bigram,bidi_bigram,frequency,ends_with_punct
0,0,0,0,0,0,Mhm.,4.34,4.66,Mhm,Mhm,3,2.0,PROPN,False,False,0.3200000000000003,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,41,True
1,1,0,1,0,1,Mhm.,10.14,10.95,Mhm,Mhm,3,2.0,PROPN,False,False,0.8099999999999987,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,41,True
2,2,0,2,0,2,"Just,",12.74,14.36,Just,just,4,1.0,ADV,True,False,1.6199999999999992,9.744504451751707,10.990050420165062,6.055396556854248,6.128321900963783,9.310481950640678,19.33949375152588,70,True
3,3,0,2,1,3,mm.,17.74,17.95,mm,mm,2,,INTJ,False,False,0.2100000000000008,12.40781545639038,11.694960683584211,6.108757019042969,12.510980606079102,12.028164327144625,20.51478242874145,18,True
4,4,0,3,0,4,And,18.74,19.06,And,and,3,1.0,CCONJ,True,False,0.3200000000000003,2.748568534851074,12.719168663024902,9.42661476135254,2.3121159076690674,8.054622650146484,2.546888828277588,230,False
5,5,0,3,1,5,Uh,19.44,19.56,Uh,uh,2,1.0,INTJ,False,False,0.1199999999999974,13.329212188720703,1.2371530532836914,11.133012771606444,14.712016105651855,1.1734178066253662,11.746013641357422,73,False
6,6,0,3,2,6,"huh,",19.56,19.76,huh,huh,3,1.0,INTJ,False,False,0.2000000000000028,6.922971248626709,8.880468785762787,6.182451248168945,5.401737689971924,9.106057092547417,12.342160940170288,36,True
7,7,0,3,3,7,mm.,28.74,29.06,mm,mm,2,,PROPN,False,False,0.3200000000000003,8.248828172683716,11.694959938526154,6.085521697998047,10.615604400634766,12.028164327144625,17.253740310668945,18,True
8,8,0,4,0,8,Mhm.,36.64,37.06,Mhm,Mhm,3,2.0,PROPN,False,False,0.4200000000000017,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,41,True
9,9,0,5,0,9,Mhm.,38.44,38.76,Mhm,Mhm,3,2.0,PROPN,False,False,0.3200000000000003,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,41,True
10,10,0,6,0,10,What?,41.24,42.65,What,what,4,1.0,PRON,True,False,1.4099999999999966,7.638750791549683,7.144146919250488,7.213588714599609,6.404835224151611,7.881072521209717,16.85889959335327,43,True
11,11,0,7,0,11,Mhm.,52.04,52.25,Mhm,mhm,3,2.0,INTJ,False,False,0.2100000000000008,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,21,True
12,12,0,8,0,12,Uh,67.04,67.1,Uh,uh,2,1.0,INTJ,False,False,0.059999999999988,6.926295280456543,0.358745127916336,8.762314796447754,8.499258041381836,0.4308214485645294,7.431540012359619,73,False
13,13,0,8,1,13,huh.,67.1,67.54,huh,huh,3,1.0,INTJ,False,False,0.4400000000000119,4.412485495209694,10.41092786192894,5.698734283447266,3.8923201858997354,10.55848354101181,12.801785230636597,36,True
14,14,0,9,0,14,Mhm.,70.24,70.45,Mhm,Mhm,3,2.0,PROPN,False,False,0.2100000000000079,14.247051477432253,17.214085668325424,6.310240745544434,18.384440943598747,18.408640325069427,30.430572986602783,41,True
